Dalla	Big-Boil	Jon-Snow
Dalla	Luwin	Jon-Snow
"Dalla	Harma	Mance-Rayder,Jon-Snow"
"Dalla	Aemon-Targaryen-(Maester-Aemon)	Mance-Rayder,Jon-Snow"
Dalla	Eddison-Tollett	Jon-Snow
Dalla	Dick-Follard	Jon-Snow
Dalla	Dalbridge	Jon-Snow
Dalla	Othor	Jon-Snow
"Dalla	Janos-Slynt	Mance-Rayder,Jon-Snow"
Dalla	Satin	Jon-Snow
Dalla	Jory-Cassel	Jon-Snow
Dalla	Arya-Stark	Jon-Snow
Dalla	Rickon-Stark	Jon-Snow
Dalla	Joramun	Mance-Rayder
Dalla	Ottyn-Wythers	Jon-Snow
Dalla	Owen	Jon-Snow
Dalla	Stonesnake	Jon-Snow
Dalla	Yoren	Jon-Snow
Dalla	Grenn	Jon-Snow
Dalla	Halder	Jon-Snow
Dalla	Grigg	Jon-Snow
Dalla	Rodrik-Cassel	Jon-Snow
Dalla	Dareon	Jon-Snow
Dalla	Hobb	Jon-Snow
Dalla	Mag-Mar-Tun-Doh-Weg	Jon-Snow
Dalla	Nan	Jon-Snow
Dalla	Hake	Jon-Snow
Dalla	Lark	Jon-Snow
Dalla	Spare-Boot	Jon-Snow
Dalla	Dywen	Jon-Snow
Dalla	Sansa-Stark	Jon-Snow
Dalla	Todder	Jon-Snow
"Dalla	Joffrey-Baratheon	Mance-Rayder,Jon-Snow"
"Dalla	Jon-Snow	Mance-Rayder,Val"
"Dalla	Tormund	Mance-Rayder,Jon-Snow"
"Dalla	Alliser-Thorne	Mance-Rayder,Jon-Snow"
Dalla	Hareth-(Moles-Town)	Jon-Snow
"Dalla	Benjen-Stark	Mance-Rayder,Jon-Snow"
Dalla	Cersei-Lannister	Jon-Snow
"Dalla	Rattleshirt	Mance-Rayder,Jon-Snow"
"Dalla	Craster	Mance-Rayder,Jon-Snow"
Dalla	Gorne	Jon-Snow
"Dalla	Samwell-Tarly	Mance-Rayder,Jon-Snow"
"Dalla	Styr	Mance-Rayder,Jon-Snow"
Dalla	Mully	Jon-Snow
Dalla	Gendel	Jon-Snow
Dalla	Melisandre	Jon-Snow
Dalla	Chett	Jon-Snow
"Dalla	Val	Mance-Rayder,Jon-Snow"
Dalla	Albett	Jon-Snow
"Dalla	Ygritte	Mance-Rayder,Jon-Snow"
Dalla	Mordane	Jon-Snow
"Dalla	Qhorin-Halfhand	Mance-Rayder,Jon-Snow"
"Dalla	Mance-Rayder	Val,Jon-Snow"
Dalla	Orell	Jon-Snow
Gerold-Hightower	Qyburn	Jaime-Lannister
"Gerold-Hightower	Robert-Baratheon	Barristan-Selmy,Eddard-Stark,Aerys-II-Targaryen,Jaime-Lannister"
Gerold-Hightower	Walton	Jaime-Lannister
"Gerold-Hightower	Tyrion-Lannister	Eddard-Stark,Robert-Baratheon,Aerys-II-Targaryen,Jaime-Lannister"
"Gerold-Hightower	Boros-Blount	Barristan-Selmy,Jaime-Lannister"
Gerold-Hightower	Edric-Storm	Robert-Baratheon
"Gerold-Hightower	Tommen-Baratheon	Robert-Baratheon,Jaime-Lannister"
"Gerold-Hightower	Robb-Stark	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Daryn-Hornwood	Eddard-Stark
Gerold-Hightower	Illyrio-Mopatis	Robert-Baratheon
Gerold-Hightower	Osmund-Kettleblack	Jaime-Lannister
"Gerold-Hightower	Bran-Stark	Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Gendry	Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Eddard-Stark	Barristan-Selmy,Robert-Baratheon,Aerys-II-Targaryen,Jaime-Lannister"
Gerold-Hightower	Addam-Marbrand	Jaime-Lannister
"Gerold-Hightower	Jorah-Mormont	Barristan-Selmy,Robert-Baratheon"
Gerold-Hightower	Robin-Ryger	Jaime-Lannister
"Gerold-Hightower	Meryn-Trant	Barristan-Selmy,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Brynden-Tully	Jaime-Lannister
Gerold-Hightower	Mycah	Eddard-Stark
Gerold-Hightower	Jacks	Eddard-Stark
Gerold-Hightower	Rorge	Jaime-Lannister
Gerold-Hightower	Belwas	Barristan-Selmy
Gerold-Hightower	Aerys-I-Targaryen	Robert-Baratheon
"Gerold-Hightower	Jaime-Lannister	Barristan-Selmy,Eddard-Stark,Robert-Baratheon,Aerys-II-Targaryen"
Gerold-Hightower	Syrio-Forel	Eddard-Stark
"Gerold-Hightower	Catelyn-Stark	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
"Gerold-Hightower	Theon-Greyjoy	Eddard-Stark,Jaime-Lannister"
Gerold-Hightower	Urswyck	Jaime-Lannister
Gerold-Hightower	Balon-Swann	Jaime-Lannister
Gerold-Hightower	Rossart	Aerys-II-Targaryen
"Gerold-Hightower	Pycelle	Barristan-Selmy,Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Edmure-Tully	Eddard-Stark,Jaime-Lannister"
"Gerold-Hightower	Petyr-Baelish	Barristan-Selmy,Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
"Gerold-Hightower	Renly-Baratheon	Barristan-Selmy,Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
"Gerold-Hightower	Gregor-Clegane	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Jeor-Mormont	Robert-Baratheon
Gerold-Hightower	Tysha	Jaime-Lannister
"Gerold-Hightower	Daenerys-Targaryen	Barristan-Selmy,Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Galbart-Glover	Eddard-Stark,Jaime-Lannister"
"Gerold-Hightower	Stannis-Baratheon	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Howland-Reed	Eddard-Stark
Gerold-Hightower	Porther	Eddard-Stark
Gerold-Hightower	Tomard	Eddard-Stark
Gerold-Hightower	Torrhen-Karstark	Eddard-Stark
"Gerold-Hightower	Lysa-Arryn	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Oswell-Whent	Lewyn-Martell
"Gerold-Hightower	Aerys-II-Targaryen	Eddard-Stark,Robert-Baratheon,Arthur-Dayne,Jaime-Lannister"
Gerold-Hightower	Lancel-Lannister	Robert-Baratheon
Gerold-Hightower	Joss	Eddard-Stark
"Gerold-Hightower	Alyn	Eddard-Stark,Robert-Baratheon"
Gerold-Hightower	Luwin	Eddard-Stark
"Gerold-Hightower	Brandon-Stark	Eddard-Stark,Robert-Baratheon,Aerys-II-Targaryen"
Gerold-Hightower	Roose-Bolton	Jaime-Lannister
Gerold-Hightower	Aemon-Targaryen-(Maester-Aemon)	Robert-Baratheon
"Gerold-Hightower	Loras-Tyrell	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Varly	Eddard-Stark
"Gerold-Hightower	Rickard-Karstark	Eddard-Stark,Jaime-Lannister"
"Gerold-Hightower	Jonothor-Darry	Oswell-Whent,Lewyn-Martell"
"Gerold-Hightower	Ilyn-Payne	Eddard-Stark,Robert-Baratheon"
Gerold-Hightower	Aegon-I-Targaryen	Eddard-Stark
"Gerold-Hightower	Lyanna-Stark	Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Janos-Slynt	Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Arthur-Dayne	Lewyn-Martell,Aerys-II-Targaryen"
"Gerold-Hightower	Jory-Cassel	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
"Gerold-Hightower	Thoros-of-Myr	Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Kevan-Lannister	Jaime-Lannister
"Gerold-Hightower	Beric-Dondarrion	Eddard-Stark,Robert-Baratheon"
"Gerold-Hightower	Arya-Stark	Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Oberyn-Martell	Jaime-Lannister
Gerold-Hightower	Harwin	Eddard-Stark
Gerold-Hightower	Rickon-Stark	Eddard-Stark
"Gerold-Hightower	Sandor-Clegane	Barristan-Selmy,Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Cayn	Eddard-Stark
Gerold-Hightower	Owen	Robert-Baratheon
Gerold-Hightower	Tregar	Eddard-Stark
Gerold-Hightower	Wylla	Eddard-Stark
Gerold-Hightower	Amory-Lorch	Jaime-Lannister
"Gerold-Hightower	Brienne-of-Tarth	Robert-Baratheon,Aerys-II-Targaryen,Jaime-Lannister"
Gerold-Hightower	Elia-Martell	Jaime-Lannister
Gerold-Hightower	Cressen	Robert-Baratheon
"Gerold-Hightower	Rodrik-Cassel	Eddard-Stark,Jaime-Lannister"
"Gerold-Hightower	Varys	Barristan-Selmy,Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	Marq-Piper	Eddard-Stark
"Gerold-Hightower	Sansa-Stark	Barristan-Selmy,Eddard-Stark,Robert-Baratheon,Jaime-Lannister"
Gerold-Hightower	High-Septon-(fat_one)	Eddard-Stark
"Gerold-Hightower	Hoster-Tully	Robert-Baratheon,Jaime-Lannister"
