Yohn-Royce	0,0,3,3
Matthar	3,0,0,3
Arwyn-Oakheart	0,3,0,3
Joramun	0,0,3,3
Aron-Santagar	0,3,0,3
Gelmarr	0,3,0,3
Jafer-Flowers	3,0,0,3
Blane	0,0,3,3
Jonos-Bracken	3,0,0,3
Zei	0,0,3,3
Grazdan-mo-Eraz	0,0,3,3
Nage	0,0,3,3
Mychel-Redfort	3,0,0,3
Dancy	0,3,0,3
Aegon-V-Targaryen	0,3,0,3
Byam-Flint	0,0,3,3
Martyn-Rivers	0,3,0,3
Daeron-I-Targaryen	0,0,3,3
Matthos-Seaworth	0,3,0,3
Watt	0,0,3,3
Arson	0,0,3,3
Captain-Myraham-Daughter	0,3,0,3
Shadd	0,3,0,3
Brenett	0,0,3,3
Merrit	0,0,3,3
Harys-Swyft	3,0,0,3
Simon-Toyne	0,0,3,3
Galyeon-of-Cuy	0,0,3,3
Poxy-Tym	0,3,0,3
Softfoot	0,0,3,3
Wylla	3,0,0,3
Aegon-Targaryen-(son-of-Rhaegar)	0,0,3,3
Azor-Ahai	0,0,3,3
Hugh	3,0,0,3
Praed	0,3,0,3
Tristifer-IV-Mudd	0,0,3,3
Imry-Florent	0,3,0,3
Aerys-I-Targaryen	0,3,0,3
Halys-Hornwood	0,3,0,3
Grisel	0,0,3,3
Ragwyle	0,0,3,3
Maekar-I-Targaryen	0,3,0,3
Daeron-II-Targaryen	0,3,0,3
Lyn-Corbray	3,0,0,3
Kella	0,0,3,3
Lynesse-Hightower	0,3,0,3
Wynton-Stout	0,0,3,3
Lorent-Caswell	0,3,0,3
Maron-Greyjoy	0,3,0,3
Donnel-Waynwood	3,0,0,3
Anders-Yronwood	0,0,3,3
Gerald-Gower	0,0,3,3
Leonette-Fossoway	0,0,3,3
Aemon-Targaryen-(Dragonknight)	0,0,3,3
Palla	0,3,0,3
Tarber	0,3,0,3
Hali	3,0,0,3
Steffon-Varner	0,3,0,3
Moreo-Tumitis	3,0,0,3
Jon-Fossoway	0,3,0,3
Mors-Umber	0,3,0,3
